date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:29	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:30:29	8046/8046	---M-Z	200	added ('OK')	text/html	etag:%221f6e-64a05b64-ea8f045cc6013395;gz%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/index.html	(from )
12:30:29	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionPlimPlim/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:29	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionPlimPlim/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:29	10222/10222	---M-Z	200	added ('OK')	text/css	etag:%2227ee-63472ac2-9ba1314165954fb0;gz%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/css/styles.css?v=1	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/css/styles3860.css	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:30	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:30	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:31	19030/19030	---M--	200	added ('OK')	image/png	etag:%224a56-63472ac3-2236f2b0e722e2c1;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/img/1.png	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:31	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2011%20Sep%202024%2015:30:32%20GMT	https://media1.giphy.com/media/C2TcUtEGtMtz0fxHQK/giphy.gif?cid=6c09b95200c6185f11eebba62dbf3ffdf8456d5ba8106ffd&rid=giphy.gif&ct=s	C:/Mis%20lugares%20Web/invitacionPlimPlim/media1.giphy.com/media/C2TcUtEGtMtz0fxHQK/giphy.7f56f.delayed	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:31	655454/655454	---M--	200	added ('OK')	image/gif	etag:%22a005e-63472ac5-e87d773e06fc489a;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/img/logo_animado.gif	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:32	17746/17746	---M--	200	added ('OK')	image/png	etag:%224552-63472ac3-a99158112132b21f;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/img/cinta.png	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/img/cinta.png	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:32	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/invitacionPlimPlim/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:32	1672/1672	---M-Z	200	added ('OK')	application/x-javascript	etag:%22688-63472ac4-2cc5b28b169d228e;gz%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/js/card.js?v=2	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/js/card5e1f.js	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:32	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionPlimPlim/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:30:33	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionPlimPlim/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:30:33	106660/106660	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221a0a4-63472ac3-68353cfe13b2635b;gz%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/fonts/akaDylan%20Plain.ttf	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/fonts/akaDylan%20Plain.ttf	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/css/styles.css?v=1)
12:30:33	1270781/1270781	---M--	200	added ('OK')	audio/mpeg	etag:%221363fd-63472ac6-a7e368588dc60f9f;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/sounds/audio.mp3?v=1	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/sounds/audio3860.mp3	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/)
12:30:34	17177/17177	---M--	200	added ('OK')	image/jpeg	etag:%224319-63472ac4-e8a7495d069093a9;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/img/fondo_tarjeta.jpg?v=1	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/img/fondo_tarjeta3860.jpg	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/css/styles.css?v=1)
12:30:34	43683/43683	---M--	200	added ('OK')	image/jpeg	etag:%22aaa3-63472ac4-c8678928c5e53d0c;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/img/fondoppl.jpg	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/img/fondoppl.jpg	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/css/styles.css?v=1)
12:30:34	30655/30655	---M--	200	added ('OK')	image/jpeg	etag:%2277bf-63472ac3-3b5df106f0713b20;;;%22	https://www.tarjetas.cool/modelos/cumple/plim_plim/img/fondo.jpg	C:/Mis%20lugares%20Web/invitacionPlimPlim/www.tarjetas.cool/modelos/cumple/plim_plim/img/fondo.jpg	(from https://www.tarjetas.cool/modelos/cumple/plim_plim/css/styles.css?v=1)
12:30:34	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
